IP,DATE,METHOD,PAGE,PROTOCOL,STATUS
192.168.1.100,[10/Sep/2023:14:30:45 -0400],GET,/index.html,HTTP/1.1,200
192.168.1.101,[10/Sep/2023:14:31:20 -0400],POST,/login.php,HTTP/1.1,403
192.168.1.102,[10/Sep/2023:14:32:15 -0400],GET,/images/logo.png,HTTP/1.1,200
192.168.1.103,[10/Sep/2023:14:33:05 -0400],GET,/about.html,HTTP/1.1,200
192.168.1.104,[10/Sep/2023:14:34:10 -0400],GET,/contact.html,HTTP/1.1,404
192.168.1.105,[10/Sep/2023:14:35:25 -0400],GET,/products/list,HTTP/1.1,200
192.168.1.106,[10/Sep/2023:14:36:30 -0400],POST,/submit.php,HTTP/1.1,200
192.168.1.107,[10/Sep/2023:14:37:45 -0400],GET,/blog/post123,HTTP/1.1,200
192.168.1.108,[10/Sep/2023:14:38:55 -0400],GET,/downloads/file.zip,HTTP/1.1,200
192.168.1.109,[10/Sep/2023:14:39:40 -0400],GET,/images/banner.jpg,HTTP/1.1,200
192.168.1.110,[10/Sep/2023:14:40:15 -0400],GET,/index.html,HTTP/1.1,200
192.168.1.111,[10/Sep/2023:14:41:05 -0400],POST,/login.php,HTTP/1.1,403
192.168.1.112,[10/Sep/2023:14:42:20 -0400],GET,/images/logo.png,HTTP/1.1,200
192.168.1.113,[10/Sep/2023:14:43:30 -0400],GET,/about.html,HTTP/1.1,200
192.168.1.114,[10/Sep/2023:14:44:40 -0400],GET,/contact.html,HTTP/1.1,404
192.168.1.115,[10/Sep/2023:14:45:55 -0400],GET,/products/list,HTTP/1.1,200
192.168.1.116,[10/Sep/2023:14:46:45 -0400],POST,/submit.php,HTTP/1.1,200
192.168.1.117,[10/Sep/2023:14:47:35 -0400],GET,/blog/post123,HTTP/1.1,200
192.168.1.118,[10/Sep/2023:14:48:25 -0400],GET,/downloads/file.zip,HTTP/1.1,200
192.168.1.119,[10/Sep/2023:14:49:15 -0400],GET,/images/banner.jpg,HTTP/1.1,200
192.168.1.120,[10/Sep/2023:14:50:05 -0400],GET,/index.html,HTTP/1.1,200
192.168.1.121,[10/Sep/2023:14:51:00 -0400],POST,/login.php,HTTP/1.1,403
